   Log,     Log  ,    Log  , Remote, Op Type:,  AirCon,  AirCon,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,Compresr,    EEV,   EEV,    'C,    'C,    'C,    'C,    'C,    'C,    'C,  Thermal,  OU Fan,  OU Fan,  OU Fan,RemotFan,  IUFan,  IU Fan,4Way,ACIT Ver.,ACIT Ver.,Thm. Cut,Thm. Cut,Tc Protect,Te Protect,Td Protect,CurProtct,HeatSink,OutTemp,SuctProtc,VoltProtc,DewProt.,SleepLimt,  Defrost,TotalTime,     'C,Model,     'C,Voltage,Voltage, Current, Current,   Error,   Error,   Error,   Error
     No,    Date,   Time,Command,USB?Play,SubMode,MainMode,Op Mode,TargtStep,MaxStep,MinStep,FinalStep,FinalFreq, RealFreq, CycleM,  Pulse,  IU Air,RemotSet, IU Pipe,Discharge, OU Pipe,OU Air,   error,    Cut,TargtStep,TargtRpm,RealRpm, TargtStep,TargtStep,TargtFreq, Valve, Time,    Date,Slow Tmr,Fast Tmr,  MaxStep, MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,MaxStep,ActiveAlg,Heating,Target  Td, Name,HeatSink,  Input , DCLink,OU Input ,Compressor, OU PFC,OUGenerl,OU Comp,     IU
24,8.6.2015,16:55:06,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,112,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
25,8.6.2015,16:55:08,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,114,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
26,8.6.2015,16:55:10,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,116,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
27,8.6.2015,16:55:12,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,10,780,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,118,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
28,8.6.2015,16:55:14,Heating,Play Norm,CYCLE-,HEATING,Start 1.2,3,5,2,3,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,120,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
29,8.6.2015,16:55:16,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,122,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
30,8.6.2015,16:55:18,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,124,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
31,8.6.2015,16:55:20,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,126,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
32,8.6.2015,16:55:22,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,128,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
33,8.6.2015,16:55:24,Heating,Play Norm,CYCLE-,HEATING,Start 2,0,5,2,2,39,0,Start 1.6,170, 24.1, 19.0, 16.2, 78.6, 28.7, 25.0,-2.1,OFF,6,540,0,5,5,1475,HEATING,14:51:07,Jun  8 2015,180,10,16,16,16,16,16,5,16,16,16,16,  ,130,170,SB Reference  , 45.0,230,0,12,0,0,0,0,0
